Store,Link,Brand,Model,Package,Capacity,Discharge Rate,Weight,Length,Thickness,Width,Voltage
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries/products/molicel-p28a,Molicel,p28a,Cylinder,2800,35,46,65.15,18.5,N/A,3.6
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries/products/hohm-tech-life,Hohm Tech,Life v4,Cylinder,3015,22.1,49.6,65.15,18.5,N/A,3.65
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries/products/samsung-25s,Samsung,25S,Cylinder,2500,35,45.8,65.15,18.5,N/A,3.6
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries/products/hohm-tech-mega-18650,Hohm Tech,Mega 22A,Cylinder,2505,29.5,49.6,65.15,18.5,N/A,3.65
LiIon Wholesale,https://liionwholesale.com/collections/batteries/products/vapcell-k30-18650-15a-30a-flat-top-3000mah-battery-genuine?variant=31330442215493,VapCell,K30,Cylinder,2900,30,49,65.15,18.5,N/A,3.6
LiIon Wholesale,https://liionwholesale.com/collections/batteries/products/vapcell-18650-20a-flat-top-3000mah-battery-genuine?variant=6348046336032,VapCell,V30,Cylinder,2900,20,48,65.15,18.5,N/A,3.6
LiIon Wholesale,https://liionwholesale.com/collections/batteries/products/vapcell-k25-18650-20a-35a-flat-top-2500mah-battery-genuine?variant=31330442149957,VapCell,K25,Cylinder,2400,20,46,65.15,18.5,N/A,3.6
LiIon Wholesale,https://liionwholesale.com/collections/batteries/products/vapcell-q30-18650-20a-35a-flat-top-3000mah-battery-genuine?variant=40592456777797,VapCell,30Q,Cylinder,2900,20,48,65.15,18.5,N/A,3.6
Battery Junction,https://batteryjunction.com/batteries/shop-by-size/18650/samsung-inr18650-20s,Samsung,20S,Cylinder,2000,30,45.7,65.15,18.5,N/A,3.6
IMR Batteries,https://www.imrbatteries.com/samsung-25r-18650/,Samsung,25R,Cylinder,2500,20,45,65.15,18.5,N/A,3.6
IMR Batteries,https://www.imrbatteries.com/sony-murata-vtc4-18650-2100mah-30a-battery/,Sony,Murata VTC4,Cylinder,2100,30,45.3,65.15,18.5,N/A,3.6
IMR Batteries,https://www.imrbatteries.com/sony-murata-vtc5-18650-2600mah-20a-battery/,Sony,Murata VTC5,Cylinder,2600,20,44.1,65.15,18.5,N/A,3.6
IMR Batteries,https://www.imrbatteries.com/sony-murata-vtc5c-18650-2800mah-25a-battery/,Sony,Murata VTC5C,Cylinder,2800,35,46.52,65.15,18.5,N/A,3.6
18650 battery store,https://www.18650batterystore.com/collections/18650-batteries/products/sony-vtc5d,Sony,Murata VTC5D,Cylinder,2800,35,46.37,65.15,18.5,N/A,3.6
IMR Batteries,https://www.imrbatteries.com/sony-murata-vtc6-18650-3000mah-15a-battery/,Sony,Murata VTC6,Cylinder,3000,30,46.6,65.15,18.5,N/A,3.6
Amprius,file:///C:/Users/RaczT/Downloads/Amprius%20Product%20Catalog%202025.pdf,Amprius,SA02,Pouch,11250,33,111.2,139.3,6.74,52.1,3.5
Amprius,file:///C:/Users/RaczT/Downloads/Amprius%20Product%20Catalog%202025.pdf,Amprius,SA08,Pouch,11050,54,106.5,144,6.25,52,3.4
Amprius,file:///C:/Users/RaczT/Downloads/Amprius%20Product%20Catalog%202025.pdf,Amprius,SA30,Pouch,26000,103.2,266,144,7.76,106,3.4
Amprius,file:///C:/Users/RaczT/Downloads/Amprius%20Product%20Catalog%202025.pdf,Amprius,SA88,Pouch,10000,100,92,135.2,5.6,53.1,3.4
A123,https://www.buya123products.com/goodsdetail.php?i=6,A123,Lithium Werks ANR26650M1B,Cylinder,2600,50,76,65.15,25.96,N/A,3.3
A123,https://www.buya123products.com/goodsdetail.php?i=2,A123,Lithium Werks APR18650M1B,Cylinder,1200,30,39.5,64.95,18.3,N/A,3.3
GREPow,https://www.grepow.com/high-discharge-rate-battery/50c-rate-discharge-battery.html,GREPow,GRP51B5140,Pouch,6100,305,153,135,4.8,114,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/40c-rate-discharge-battery.html,GREPow,GRP7018055,Pouch,520,20.8,12.8,55,6.7,18,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/40c-rate-discharge-battery.html,GREPow,GRP5338064,Pouch,1050,42,25,65,5,38,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/40c-rate-discharge-battery.html,GREPow,GRP5738064,Pouch,1200,48,28.5,65,5.7,38,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/40c-rate-discharge-battery.html,GREPow,GRP7634066,Pouch,1350,54,31.6,65.5,7.3,33,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/40c-rate-discharge-battery.html,GREPow,GRP7526089,Pouch,1400,48,33.5,89.5,7.2,25,3.7
