Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
p28a,414.0,23,115,210.0,6.0,5,86.94,6.9552,36.3610682875,31.74,4.6210682875,0.19128150870064012,2.3910188587580015,425.5,325.75,111.0,1705191.25
p28a,410.40000000000003,19,114,210.0,6.0,6,86.184,6.89472,36.090316419299995,31.464,4.6263164193,0.1910407190642672,2.3880089883033397,351.5,390.90000000000003,111.0,1707127.83
p28a,403.2,16,112,210.0,6.0,7,84.672,6.773759999999999,35.5226602615,30.912,4.6106602615,0.1906884211411808,2.38360526426476,296.0,456.05000000000007,111.0,1701350.65
p28a,403.2,14,112,210.0,6.0,8,84.672,6.773759999999999,35.5872110794,30.912,4.6752110794,0.19034253583082986,2.3792816978853732,259.0,521.2,111.0,1725170.1400000001
p28a,388.8,27,108,210.0,6.0,4,81.648,6.531840000000001,34.1541901149,29.808,4.3461901149,0.19124564154576282,2.390570519322035,499.5,260.6,111.0,1603760.19
p28a,396.0,22,110,210.0,6.0,5,83.16,6.6528,34.7997500465,30.36,4.4397500464999995,0.19117378691256168,2.389672336407021,407.0,325.75,111.0,1638284.15
p28a,388.79999999999995,18,108,210.0,6.0,6,81.64799999999998,6.531839999999999,34.2192944232,29.808,4.411294423199999,0.190881784972502,2.386022312156275,333.0,390.90000000000003,111.0,1627783.92
p28a,378.0,15,105,210.0,6.0,7,79.38,6.3504,33.3419345103,28.98,4.3619345103,0.19046285385865155,2.3807856732331443,277.5,456.05000000000007,111.0,1609569.9300000002
p28a,374.40000000000003,13,104,210.0,6.0,8,78.624,6.28992,33.0967815731,28.704,4.3927815731,0.19004627341506355,2.375578417688294,240.5,521.2,111.0,1620952.6099999999
p28a,403.2,28,112,175.0,5.0,4,70.56,5.6448,29.895050573200002,25.76,4.1350505732,0.18882055362904757,2.3602569203630948,518.0,260.6,92.5,1525848.92
p28a,414.0,23,115,175.0,5.0,5,72.45,5.796,30.701555790249998,26.45,4.251555790249999,0.18878522116591423,2.359815264573928,425.5,325.75,92.5,1568839.775
p28a,410.40000000000003,19,114,175.0,5.0,6,71.82,5.7456,30.47244518515,26.22,4.25244518515,0.1885506714374197,2.356883392967746,351.5,390.90000000000003,92.5,1569167.965
p28a,403.2,16,112,175.0,5.0,7,70.56,5.6448,29.992430290450002,25.76,4.23243029045,0.18820748920094618,2.3525936150118274,296.0,456.05000000000007,92.5,1561782.395
p28a,403.2,14,112,175.0,5.0,8,70.56,5.6448,30.0462226387,25.76,4.2862226387,0.18787053760060374,2.3483817200075467,259.0,521.2,92.5,1581631.97
p28a,388.8,27,108,175.0,5.0,4,68.04,5.4432,28.83810230855,24.84,3.9981023085499996,0.18875028397365057,2.359378549670632,499.5,260.6,92.5,1475314.505
p28a,396.0,22,110,175.0,5.0,5,69.3,5.544,29.383037014750002,25.3,4.08303701475,0.18868029187101948,2.3585036483877437,407.0,325.75,92.5,1506655.725
p28a,388.79999999999995,18,108,175.0,5.0,6,68.03999999999999,5.443199999999999,28.892355898799998,24.84,4.0523558988,0.18839585179781324,2.3549481474726655,333.0,390.90000000000003,92.5,1495334.28
p28a,378.0,15,105,175.0,5.0,7,66.15,5.292,28.15077049325,24.15,4.00077049325,0.18798774979423447,2.349846872427931,277.5,456.05000000000007,92.5,1476299.075
p28a,374.40000000000003,13,104,175.0,5.0,8,65.52000000000001,5.241600000000001,27.94299233065,23.92,4.022992330649999,0.18758191456290868,2.3447739320363583,240.5,521.2,92.5,1484499.015
p28a,504.0,28,140,175.0,5.0,5,88.2,7.056,37.294149667750006,32.2,5.09414966775,0.18919857572464382,2.364982196558048,518.0,325.75,92.5,1879760.0250000001
p28a,518.4000000000001,24,144,175.0,5.0,6,90.72000000000001,7.257600000000001,38.3728916169,33.12,5.2528916169,0.18913351832999847,2.364168979124981,444.0,390.90000000000003,92.5,1938336.3900000001
p28a,504.0,20,140,175.0,5.0,7,88.2,7.056,37.35906947925,32.2,5.15906947925,0.1888698005157502,2.360872506446878,370.0,456.05000000000007,92.5,1903715.675
p28a,518.4,18,144,175.0,5.0,8,90.72,7.2576,38.4591438709,33.12,5.3391438709,0.18870934892264832,2.358866861533104,333.0,521.2,92.5,1970163.79
p28a,486.0,27,135,175.0,5.0,5,85.05,6.804,35.97563089225,31.05,4.92563089225,0.18912802447797356,2.3641003059746692,499.5,325.75,92.5,1817575.975
p28a,496.79999999999995,23,138,175.0,5.0,6,86.93999999999998,6.9552,36.792802330549996,31.74,5.05280233055,0.18903697352307738,2.3629621690384672,425.5,390.90000000000003,92.5,1864502.705
p28a,478.80000000000007,19,133,175.0,5.0,7,83.79000000000002,6.703200000000001,35.51740968205,30.59,4.9274096820499995,0.18872997946659673,2.3591247433324596,351.5,456.05000000000007,92.5,1818232.355
p28a,489.6,17,136,175.0,5.0,8,85.68,6.8544,36.35591356285,31.28,5.075913562849999,0.1885360407227977,2.356700509034971,314.5,521.2,92.5,1873030.835
p28a,504.0,28,140,140.0,4.0,5,70.56,5.6448,30.420639843000004,25.76,4.660639843,0.18555822721457013,2.319477840182127,518.0,325.75,74.0,1719793.3
p28a,518.4000000000001,24,144,140.0,4.0,6,72.57600000000001,5.806080000000001,31.300356834,26.496,4.804356834,0.18549564884490866,2.3186956105613583,444.0,390.90000000000003,74.0,1772825.4000000001
p28a,504.0,20,140,140.0,4.0,7,70.56,5.6448,30.472575692200003,25.76,4.7125756922,0.18524197156871405,2.3155246446089257,370.0,456.05000000000007,74.0,1738957.82
p28a,518.4,18,144,140.0,4.0,8,72.576,5.80608,31.3693586372,26.496,4.873358637200001,0.18508762219686378,2.3135952774607973,333.0,521.2,74.0,1798287.3200000003
p28a,486.0,27,135,140.0,4.0,5,68.04,5.4432,29.344920533,24.84,4.504920533,0.18549036429929391,2.3186295537411743,499.5,325.75,74.0,1662332.3
p28a,496.79999999999995,23,138,140.0,4.0,6,69.552,5.564159999999999,30.0112002574,25.392,4.619200257399999,0.18540278137086566,2.3175347671358213,425.5,390.90000000000003,74.0,1704501.94
p28a,478.80000000000007,19,133,140.0,4.0,7,67.03200000000001,5.362560000000001,28.969981849,24.472,4.497981849,0.1851074684116555,2.3138433551456936,351.5,456.05000000000007,74.0,1659771.9000000001
p28a,489.6,17,136,140.0,4.0,8,68.544,5.48352,29.653327527400002,25.024,4.6293275274,0.18492089951568394,2.311511243946049,314.5,521.2,74.0,1708238.94
p28a,604.8,28,168,140.0,4.0,6,84.672,6.773759999999999,36.4569831404,30.912,5.5449831404,0.18580144094516754,2.3225180118145947,518.0,390.90000000000003,74.0,2046119.2400000002
p28a,604.8000000000001,24,168,140.0,4.0,7,84.67200000000001,6.773760000000001,36.482951065,30.912,5.570951065,0.1856691907387509,2.3208648842343864,444.0,456.05000000000007,74.0,2055701.5
