Team,EnergyUsage_kWh,PeakPower_kW,Time (s)
San Jose State,17269,61085.57811,1361.936
Polytechnique Montreal,9727,11911.63221,1412.701
Oregon State,8043,14133.24516,1412.871
Pittsburgh,6548,29982.42852,1513.222
Georgia Tech,6665,37456.37772,1515.023
Washington,6955,13983.25239,1582.746
RIT,5965,18204.13073,1584.04
U Conn.,4873,1147.888032,1614.61
Purdue,6432,32777.63233,1616.58
NUS,5560,50876.88367,1637.331
Cincinnati,6616,22860.67633,1652.467
UC Santa Cruz,5540,51932.43544,1695.752
MIT,3706,44.07211618,1831.242
Auburn,2837,14673.468,1891.295
Laval,5897,3336.533988,2030.83
Missouri S&T,2857,413.95521,2153.627
